DriverID,FirstName,LastName,DateOfBirth,Nationality,TotalPoints,RacePositions,RacePoints,QualifyingTimes
leclerc,Charles,Leclerc,1997-10-16,Monegasque,327.0,"['4', '3', '2', '4', '4', '3', '3', '1', '19', '5', '11', '14', '4', '3', '3', '1', '2', '5', '1', '3', '5', '4', '2', '3']","['12', '16', '19', '12', '12', '15', '15', '25', '0', '10', '0', '0', '12', '15', '15', '25', '18', '10', '25', '16', '10', '12', '18', '15']","['1:29.407', '1:27.791', '1:16.435', '1:28.786', '1:34.289', '1:27.382', '1:14.970', '1:10.270', '1:12.691', '1:11.731', '1:05.044', '1:27.097', '1:15.905', '1:53.754', '1:10.582', '1:19.461', '1:41.365', '1:29.747', '1:32.740', '1:16.265', '1:24.525', '1:32.783', '1:20.852', '1:23.833']"
kevin_magnussen,Kevin,Magnussen,1992-10-05,Danish,14.0,"['12', '12', '10', '13', '16', '19', '12', '20', '12', '17', '8', '12', '15', '14', '18', '10', '19', '11', '7', '12', '9', '16']","['0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '4', '0', '0', '0', '0', '1', '0', '0', '6', '0', '2', '0']","['1:30.529', '1:29.020', '1:17.427', '1:30.131', '1:35.516', '1:28.619', '1:16.854', '1:11.725', '1:12.916', '1:12.937', '1:05.347', '1:32.905', '1:16.548', '1:56.500', '1:11.295', '1:20.698', '1:30.653', '1:33.481', '1:16.886', '1:33.297', '1:21.500', '1:23.877']"
norris,Lando,Norris,1999-11-13,British,344.0,"['6', '8', '3', '5', '2', '1', '2', '4', '2', '2', '20', '3', '2', '5', '1', '3', '4', '1', '4', '2', '6', '6', '10', '1']","['8', '4', '15', '10', '18', '25', '18', '12', '18', '19', '0', '15', '18', '10', '26', '16', '13', '25', '12', '18', '8', '9', '2', '25']","['1:29.614', '1:28.132', '1:16.315', '1:28.489', '1:34.165', '1:27.594', '1:14.837', '1:10.542', '1:12.021', '1:11.383', '1:04.718', '1:26.030', '1:15.227', '1:53.981', '1:09.673', '1:19.327', '1:43.609', '1:29.525', '1:32.330', '1:16.260', '1:23.405', '1:33.008', '1:20.772', '1:22.595']"
ocon,Esteban,Ocon,1996-09-17,French,23.0,"['17', '13', '16', '15', '11', '10', '14', '17', '10', '10', '12', '16', '18', '9', '15', '14', '15', '13', '18', '13', '2', '17', '20']","['0', '0', '0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '2', '0', '0', '0', '0', '0', '0', '18', '0', '0']","['1:30.793', '1:29.475', '1:17.697', '1:29.816', '1:35.223', '1:28.371', '1:15.906', '1:11.285', '1:13.435', '1:12.125', '1:05.883', '1:34.557', '1:18.049', '1:54.810', '1:11.995', '1:20.766', '1:44.504', '1:30.769', '1:33.597', '1:17.617', '1:24.475', '1:33.221', '1:22.714']"
perez,Sergio,Pérez,1990-01-26,Mexican,138.0,"['2', '2', '5', '2', '3', '4', '8', '18', '18', '8', '7', '17', '7', '7', '6', '8', '17', '10', '7', '17', '11', '10', '17', '20']","['18', '18', '10', '18', '15', '12', '4', '0', '0', '4', '6', '0', '6', '7', '8', '4', '0', '1', '6', '0', '0', '1', '0', '0']","['1:29.537', '1:27.807', '1:16.274', '1:28.263', '1:33.982', '1:27.460', '1:15.706', '1:12.060', '1:13.326', '1:12.061', '1:05.202', '1:38.348', '1:17.886', '1:53.765', '1:10.416', '1:20.062', '1:41.813', '1:30.579', '1:33.020', '1:17.611', '1:28.158', '1:34.155', '1:21.425', '1:23.264']"
piastri,Oscar,Piastri,2001-04-06,Australian,265.0,"['8', '4', '4', '8', '8', '13', '4', '2', '5', '7', '2', '4', '1', '2', '4', '2', '1', '3', '5', '8', '8', '7', '3', '10']","['4', '12', '12', '4', '4', '0', '12', '18', '10', '6', '18', '12', '25', '18', '12', '18', '25', '15', '10', '4', '4', '6', '15', '1']","['1:29.683', '1:28.089', '1:16.572', '1:28.760', '1:34.273', '1:27.675', '1:14.820', '1:10.424', '1:12.103', '1:12.011', '1:05.048', '1:26.237', '1:15.249', '1:54.027', '1:10.172', '1:19.436', '1:41.686', '1:29.953', '1:32.950', '1:17.597', '1:24.686', '1:33.033', '1:20.829', '1:22.804']"
ricciardo,Daniel,Ricciardo,1989-07-01,Australian,7.0,"['13', '16', '12', '19', '18', '15', '13', '12', '8', '15', '9', '13', '12', '10', '12', '13', '13', '18']","['0', '0', '0', '0', '0', '0', '0', '0', '4', '0', '2', '0', '0', '1', '0', '0', '0', '0']","['1:30.278', '1:29.025', '1:18.085', '1:29.472', '1:34.934', '1:28.617', '1:15.674', '1:11.482', '1:12.178', '1:13.075', '1:05.289', '1:27.949', '1:16.447', '1:54.682', '1:11.943', '1:20.479', '1:43.547', '1:31.085']"
russell,George,Russell,1998-02-15,British,226.0,"['5', '6', '17', '7', '6', '8', '7', '5', '3', '4', '1', '19', '8', '20', '7', '7', '3', '4', '6', '5', '4', '1', '4', '5']","['10', '8', '0', '6', '8', '4', '7', '10', '15', '12', '25', '0', '5', '0', '6', '6', '15', '12', '8', '10', '12', '25', '12', '10']","['1:29.485', '1:28.316', '1:16.724', '1:29.008', '1:34.433', '1:28.067', '1:15.234', '1:10.543', '1:12.000', '1:11.703', '1:04.840', '1:25.819', '1:17.968', '1:54.184', '1:10.244', '1:19.440', '1:41.874', '1:29.867', '1:32.974', '1:16.356', '1:23.578', '1:32.312', '1:20.575', '1:23.132']"
sainz,Carlos,Sainz,1994-09-01,Spanish,262.0,"['3', '1', '3', '5', '5', '5', '3', '16', '6', '3', '5', '6', '6', '5', '4', '18', '7', '2', '1', '16', '3', '6', '2']","['15', '25', '15', '10', '10', '10', '15', '0', '8', '15', '11', '8', '8', '10', '12', '0', '6', '18', '25', '0', '15', '8', '18']","['1:29.507', '1:16.185', '1:28.682', '1:34.297', '1:27.455', '1:15.233', '1:10.518', '1:12.728', '1:11.736', '1:04.851', '1:26.509', '1:15.696', '1:54.477', '1:10.914', '1:19.467', '1:41.805', '1:30.108', '1:32.652', '1:15.946', '1:29.406', '1:32.410', '1:21.041', '1:22.824']"
sargeant,Logan,Sargeant,2000-12-31,American,0.0,"['20', '14', '17', '17', '20', '17', '15', '20', '20', '19', '11', '17', '17', '16']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['1:30.770', '1:29.526', '1:30.139', '1:36.358', '1:28.487', '', '1:12.020', '1:12.736', '1:13.509', '1:05.856', '1:27.175', '1:16.543', '1:57.230', '']"
stroll,Lance,Stroll,1998-10-29,Canadian,24.0,"['10', '19', '6', '12', '15', '17', '9', '14', '7', '14', '13', '7', '10', '11', '13', '19', '19', '14', '15', '11', '19', '15', '18', '14']","['1', '0', '8', '0', '0', '0', '2', '0', '6', '0', '0', '6', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['1:30.200', '1:28.572', '1:17.072', '1:30.024', '1:34.838', '1:28.222', '1:15.992', '1:11.563', '1:12.701', '1:12.372', '1:05.819', '1:26.585', '1:16.244', '1:55.716', '1:10.857', '1:21.013', '1:43.404', '1:31.094', '1:33.759', '1:17.294', '1:26.334', '1:34.484', '1:21.911', '1:23.784']"
tsunoda,Yuki,Tsunoda,2000-05-11,Japanese,29.0,"['14', '15', '7', '10', '19', '7', '10', '8', '14', '19', '14', '10', '9', '16', '17', '20', '20', '12', '14', '20', '7', '9', '13', '12']","['0', '0', '6', '1', '0', '6', '1', '4', '0', '0', '0', '1', '2', '0', '0', '0', '0', '0', '0', '0', '6', '2', '0', '0']","['1:30.129', '1:28.547', '1:16.788', '1:29.413', '1:35.746', '1:28.192', '1:15.465', '1:10.858', '1:12.414', '1:12.985', '1:05.412', '1:27.269', '1:16.477', '1:56.593', '1:10.955', '1:20.945', '1:43.035', '1:30.354', '1:33.506', '1:17.129', '1:24.111', '1:33.029', '1:21.771', '1:23.419']"
max_verstappen,Max,Verstappen,1997-09-30,Dutch,399.0,"['1', '1', '19', '1', '1', '2', '1', '6', '1', '1', '5', '2', '5', '4', '2', '6', '5', '2', '3', '6', '1', '5', '1', '6']","['26', '25', '0', '26', '25', '18', '25', '8', '25', '25', '10', '18', '10', '12', '18', '8', '10', '18', '15', '8', '26', '10', '25', '8']","['1:29.179', '1:27.472', '1:15.915', '1:28.197', '1:33.660', '1:27.241', '1:14.746', '1:10.567', '1:12.000', '1:11.403', '1:04.314', '1:26.203', '1:15.273', '1:53.159', '1:10.029', '1:20.022', '1:42.023', '1:29.728', '1:32.361', '1:16.171', '1:27.771', '1:32.797', '1:20.520', '1:22.945']"
zhou,Guanyu,Zhou,1999-05-30,Chinese,4.0,"['11', '18', '15', '18', '14', '14', '15', '16', '15', '13', '17', '18', '19', '19', '20', '18', '14', '15', '19', '15', '15', '13', '8', '13']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '4', '0']","['1:30.757', '', '1:18.188', '1:30.143', '1:35.505', '1:28.824', '1:16.834', '1:13.028', '1:14.292', '1:12.738', '1:06.061', '1:27.867', '1:18.037', '1:57.775', '1:13.261', '1:21.445', '1:44.246', '1:32.054', '1:34.228', '1:18.072', '1:32.263', '1:33.566', '1:21.501', '1:23.880']"
